,math,h,gender,school,age,Exp,spat
1,0,-1,1,1,8,Exp1,NA
2,0,-1,1,4,9,Exp1,NA
3,0,-0.79,1,2,7,Exp1,NA
4,0,-0.75,1,1,8,Exp1,NA
5,0,-0.5,1,4,8,Exp1,NA
6,0,-0.37,1,4,7,Exp1,NA
7,0,-0.2,1,3,9,Exp1,NA
8,0,0.11,1,2,7,Exp1,NA
9,0,0.18,1,1,7,Exp1,NA
10,0,0.2,1,3,8,Exp1,NA
11,0,0.33,1,6,8,Exp1,NA
12,0,0.5,1,1,9,Exp1,NA
13,0,0.53,1,4,8,Exp1,NA
14,0,0.68,1,4,7,Exp1,NA
15,0,0.75,1,4,9,Exp1,NA
16,0,0.76,1,3,8,Exp1,NA
17,0,0.78,1,4,8,Exp1,NA
18,0,0.79,1,1,9,Exp1,NA
19,0,0.79,1,3,9,Exp1,NA
20,0,0.8,1,3,8,Exp1,NA
21,0,0.8,1,4,9,Exp1,NA
22,0,0.8,1,4,9,Exp1,NA
23,0,0.89,1,1,9,Exp1,NA
24,0,0.89,1,2,9,Exp1,NA
25,0,0.9,1,6,8,Exp1,NA
26,0,1,1,2,8,Exp1,NA
27,0,1,1,3,8,Exp1,NA
28,0,1,1,4,8,Exp1,NA
29,0,1,1,4,8,Exp1,NA
30,0,1,1,4,8,Exp1,NA
31,1,-1,1,3,8,Exp1,NA
32,1,-0.7,1,3,8,Exp1,NA
33,1,-0.67,1,4,8,Exp1,NA
34,1,-0.5,1,2,8,Exp1,NA
35,1,-0.5,1,4,7,Exp1,NA
36,1,-0.29,1,4,8,Exp1,NA
37,1,-0.11,1,2,8,Exp1,NA
38,1,0,1,1,8,Exp1,NA
39,1,0.07,1,5,9,Exp1,NA
40,1,0.13,1,5,9,Exp1,NA
41,1,0.3,1,3,8,Exp1,NA
42,1,0.3,1,4,8,Exp1,NA
43,1,0.33,1,2,8,Exp1,NA
44,1,0.37,1,3,8,Exp1,NA
45,1,0.38,1,2,9,Exp1,NA
46,1,0.44,1,4,8,Exp1,NA
47,1,0.47,1,2,9,Exp1,NA
48,1,0.47,1,4,9,Exp1,NA
49,1,0.5,1,2,8,Exp1,NA
50,1,0.5,1,4,9,Exp1,NA
51,1,0.5,1,4,9,Exp1,NA
52,1,0.53,1,2,9,Exp1,NA
53,1,0.56,1,4,8,Exp1,NA
54,1,0.56,1,4,8,Exp1,NA
55,1,0.58,1,1,8,Exp1,NA
56,1,0.58,1,2,7,Exp1,NA
57,1,0.58,1,3,8,Exp1,NA
58,1,0.58,1,6,8,Exp1,NA
59,1,0.65,1,1,9,Exp1,NA
60,1,0.67,1,2,9,Exp1,NA
61,1,0.67,1,6,8,Exp1,NA
62,1,0.68,1,1,9,Exp1,NA
63,1,0.68,1,2,9,Exp1,NA
64,1,0.68,1,2,8,Exp1,NA
65,1,0.73,1,1,8,Exp1,NA
66,1,0.76,1,4,9,Exp1,NA
67,1,0.78,1,3,9,Exp1,NA
68,1,0.79,1,2,9,Exp1,NA
69,1,0.79,1,4,8,Exp1,NA
70,1,0.8,1,4,8,Exp1,NA
71,1,0.86,1,4,8,Exp1,NA
72,1,0.88,1,6,8,Exp1,NA
73,1,0.89,1,4,9,Exp1,NA
74,1,0.89,1,4,9,Exp1,NA
75,1,0.89,1,2,8,Exp1,NA
76,1,0.89,1,3,7,Exp1,NA
77,1,0.9,1,3,8,Exp1,NA
78,1,0.9,1,3,7,Exp1,NA
79,1,0.9,1,4,9,Exp1,NA
80,1,1,1,2,9,Exp1,NA
81,1,1,1,2,9,Exp1,NA
82,1,1,1,2,8,Exp1,NA
83,1,1,1,2,8,Exp1,NA
84,1,1,1,3,8,Exp1,NA
85,1,1,1,3,8,Exp1,NA
86,1,1,1,4,8,Exp1,NA
87,1,1,1,4,8,Exp1,NA
88,1,1,1,4,9,Exp1,NA
89,1,1,1,4,9,Exp1,NA
90,1,1,1,4,9,Exp1,NA
91,1,1,1,5,9,Exp1,NA
92,1,1,1,5,9,Exp1,NA
93,1,1,1,6,7,Exp1,NA
94,1,1,1,6,8,Exp1,NA
95,1,1,1,6,8,Exp1,NA
96,1,1,1,6,9,Exp1,NA
97,2,-0.87,1,5,9,Exp1,NA
98,2,-0.6,1,4,9,Exp1,NA
99,2,-0.5,1,4,9,Exp1,NA
100,2,-0.5,1,4,9,Exp1,NA
101,2,-0.41,1,3,7,Exp1,NA
102,2,-0.25,1,6,9,Exp1,NA
103,2,0,1,3,8,Exp1,NA
104,2,0.05,1,3,8,Exp1,NA
105,2,0.26,1,4,8,Exp1,NA
106,2,0.33,1,4,8,Exp1,NA
107,2,0.37,1,4,8,Exp1,NA
108,2,0.38,1,6,9,Exp1,NA
109,2,0.4,1,6,9,Exp1,NA
110,2,0.41,1,5,9,Exp1,NA
111,2,0.44,1,6,7,Exp1,NA
112,2,0.47,1,4,9,Exp1,NA
113,2,0.5,1,2,9,Exp1,NA
114,2,0.53,1,2,9,Exp1,NA
115,2,0.56,1,1,9,Exp1,NA
116,2,0.56,1,6,9,Exp1,NA
117,2,0.58,1,5,9,Exp1,NA
118,2,0.6,1,2,9,Exp1,NA
119,2,0.63,1,3,8,Exp1,NA
120,2,0.65,1,3,9,Exp1,NA
121,2,0.65,1,4,9,Exp1,NA
122,2,0.67,1,4,9,Exp1,NA
123,2,0.68,1,3,8,Exp1,NA
124,2,0.68,1,5,9,Exp1,NA
125,2,0.68,1,6,9,Exp1,NA
126,2,0.69,1,6,8,Exp1,NA
127,2,0.7,1,3,7,Exp1,NA
128,2,0.71,1,4,8,Exp1,NA
129,2,0.78,1,6,8,Exp1,NA
130,2,0.79,1,2,9,Exp1,NA
131,2,0.79,1,2,9,Exp1,NA
132,2,0.79,1,4,9,Exp1,NA
133,2,0.86,1,4,9,Exp1,NA
134,2,0.87,1,4,9,Exp1,NA
135,2,0.88,1,6,8,Exp1,NA
136,2,0.88,1,2,9,Exp1,NA
137,2,0.88,1,4,9,Exp1,NA
138,2,0.89,1,2,9,Exp1,NA
139,2,0.89,1,1,8,Exp1,NA
140,2,0.89,1,3,9,Exp1,NA
141,2,0.9,1,3,8,Exp1,NA
142,2,1,1,2,8,Exp1,NA
143,2,1,1,3,9,Exp1,NA
144,2,1,1,3,9,Exp1,NA
145,2,1,1,4,9,Exp1,NA
146,3,-0.89,1,3,8,Exp1,NA
147,3,-0.65,1,4,9,Exp1,NA
148,3,-0.47,1,4,8,Exp1,NA
149,3,-0.37,1,2,9,Exp1,NA
150,3,-0.13,1,4,8,Exp1,NA
151,3,0.3,1,6,9,Exp1,NA
152,3,0.47,1,4,9,Exp1,NA
153,3,0.47,1,3,8,Exp1,NA
154,3,0.47,1,4,8,Exp1,NA
155,3,0.5,1,6,9,Exp1,NA
156,3,0.6,1,1,9,Exp1,NA
157,3,0.67,1,2,8,Exp1,NA
158,3,0.67,1,2,8,Exp1,NA
159,3,0.67,1,4,9,Exp1,NA
160,3,0.68,1,4,8,Exp1,NA
161,3,0.76,1,1,8,Exp1,NA
162,3,0.79,1,2,9,Exp1,NA
163,3,0.88,1,2,9,Exp1,NA
164,3,0.89,1,4,9,Exp1,NA
165,3,0.9,1,3,8,Exp1,NA
166,3,0.9,1,6,9,Exp1,NA
167,3,1,1,2,8,Exp1,NA
168,3,1,1,2,8,Exp1,NA
169,3,1,1,2,9,Exp1,NA
170,3,1,1,4,7,Exp1,NA
171,3,1,1,5,9,Exp1,NA
172,3,1,1,6,9,Exp1,NA
173,4,0.33,1,3,9,Exp1,NA
174,4,0.47,1,6,8,Exp1,NA
175,4,0.56,1,3,9,Exp1,NA
176,4,0.7,1,2,9,Exp1,NA
177,4,0.7,1,4,8,Exp1,NA
178,4,0.88,1,3,9,Exp1,NA
179,4,0.9,1,1,9,Exp1,NA
180,4,1,1,1,8,Exp1,NA
181,4,1,1,3,9,Exp1,NA
182,4,1,1,3,9,Exp1,NA
183,4,1,1,3,9,Exp1,NA
184,5,0.22,1,6,9,Exp1,NA
185,5,0.67,1,4,9,Exp1,NA
186,5,1,1,3,8,Exp1,NA
187,5,1,1,6,9,Exp1,NA
188,0,0.3,0,3,9,Exp1,NA
189,0,0.3,0,4,8,Exp1,NA
